latitude,longitude,place,cluster
2.901,95.432,"115 km WNW of Sinabang, Indonesia",0
-4.346,102.717,"68 km WSW of Pagar Alam, Indonesia",1
-2.859,101.177,"91 km SSW of Sungai Penuh, Indonesia",1
0.114,98.242,"180 km SW of Padangsidempuan, Indonesia",1
2.855,95.296,"127 km WNW of Sinabang, Indonesia",0
-2.897,101.095,"98 km SSW of Sungai Penuh, Indonesia",0
-4.215,101.437,"102 km WSW of Bengkulu, Indonesia",1
-3.654,100.859,"157 km W of Bengkulu, Indonesia",0
2.383,95.595,"87 km W of Sinabang, Indonesia",0
-2.235,99.791,"155 km SSW of Padang, Indonesia",0
-4.455,101.462,"114 km SW of Bengkulu, Indonesia",0
1.143,97.146,"145 km SSW of Singkil, Indonesia",0
-4.467,101.452,"116 km SW of Bengkulu, Indonesia",0
